image_path,xmin,ymin,xmax,ymax,label,area,ht
2018_TEAK_3_322000_4107000_image_518.tif,208,361,245,398,Tree,13.690000000000001,12
2018_TEAK_3_322000_4107000_image_518.tif,35,67,62,105,Tree,10.260000000000002,11
2018_TEAK_3_322000_4107000_image_518.tif,10,83,42,119,Tree,11.520000000000001,14
2018_TEAK_3_322000_4107000_image_518.tif,23,188,62,226,Tree,14.820000000000002,13
2018_TEAK_3_322000_4107000_image_518.tif,120,198,169,245,Tree,23.03,12
2018_TEAK_3_319000_4102000_image_281.tif,233,39,249,54,Tree,2.4000000000000004,31
2018_TEAK_3_319000_4102000_image_281.tif,211,98,226,119,Tree,3.1500000000000004,33
2018_TEAK_3_319000_4102000_image_281.tif,4,264,26,296,Tree,7.040000000000001,46
2018_TEAK_3_319000_4102000_image_281.tif,16,86,42,112,Tree,6.760000000000001,20
2018_TEAK_3_319000_4102000_image_281.tif,74,110,112,150,Tree,15.200000000000001,41
2018_TEAK_3_319000_4102000_image_281.tif,189,221,210,239,Tree,3.7800000000000002,36
2018_TEAK_3_319000_4102000_image_281.tif,277,330,295,352,Tree,3.9600000000000004,25
2018_TEAK_3_319000_4102000_image_281.tif,228,372,252,397,Tree,6.000000000000001,8
2018_TEAK_3_319000_4102000_image_281.tif,112,72,142,110,Tree,11.4,26
2018_TEAK_3_319000_4102000_image_281.tif,95,254,134,300,Tree,17.940000000000005,31
2018_TEAK_3_319000_4102000_image_281.tif,299,175,378,263,Tree,69.52000000000001,47
2018_TEAK_3_319000_4102000_image_281.tif,35,1,74,38,Tree,14.430000000000001,51
2018_TEAK_3_319000_4102000_image_281.tif,26,116,61,157,Tree,14.350000000000001,21
2018_TEAK_3_319000_4102000_image_281.tif,32,65,60,91,Tree,7.280000000000001,16
2018_TEAK_3_319000_4102000_image_281.tif,248,1,278,23,Tree,6.6000000000000005,41
2018_TEAK_3_319000_4102000_image_281.tif,325,1,386,41,Tree,24.400000000000002,51
2018_TEAK_3_319000_4102000_image_281.tif,364,104,390,137,Tree,8.580000000000002,31
2018_TEAK_3_319000_4102000_image_281.tif,93,340,144,400,Tree,30.6,43
2018_TEAK_3_319000_4102000_image_281.tif,83,162,154,237,Tree,53.25000000000001,52
2018_TEAK_3_319000_4102000_image_281.tif,251,252,281,283,Tree,9.3,46
2018_TEAK_3_319000_4102000_image_281.tif,196,312,215,333,Tree,3.9900000000000007,24
2018_TEAK_3_319000_4102000_image_281.tif,162,370,185,390,Tree,4.6000000000000005,7
2018_TEAK_3_319000_4102000_image_281.tif,225,290,272,347,Tree,26.790000000000003,49
2018_TEAK_3_319000_4102000_image_281.tif,303,48,347,104,Tree,24.640000000000004,50
2018_TEAK_3_319000_4102000_image_281.tif,153,33,223,86,Tree,37.10000000000001,52
2018_TEAK_3_319000_4102000_image_281.tif,239,93,288,149,Tree,27.440000000000005,40
2018_TEAK_3_319000_4102000_image_281.tif,151,248,204,297,Tree,25.970000000000006,43
2018_TEAK_3_320000_4093000_image_222.tif,367,47,400,91,Tree,14.520000000000003,36
2018_TEAK_3_320000_4093000_image_222.tif,373,255,400,292,Tree,9.990000000000002,13
2018_TEAK_3_320000_4093000_image_222.tif,343,129,382,170,Tree,15.990000000000004,49
2018_TEAK_3_320000_4093000_image_222.tif,1,138,33,201,Tree,20.160000000000004,23
2018_TEAK_3_320000_4093000_image_222.tif,210,307,284,399,Tree,68.08000000000001,40
2018_TEAK_3_320000_4093000_image_222.tif,325,216,378,266,Tree,26.500000000000004,23
2018_TEAK_3_320000_4093000_image_222.tif,105,1,180,41,Tree,30.0,42
2018_TEAK_3_320000_4093000_image_222.tif,257,1,307,44,Tree,21.5,35
2018_TEAK_3_320000_4093000_image_222.tif,288,60,344,120,Tree,33.6,40
2018_TEAK_3_320000_4093000_image_222.tif,174,283,225,327,Tree,22.440000000000005,21
2018_TEAK_3_320000_4093000_image_222.tif,305,167,359,216,Tree,26.460000000000004,49
2018_TEAK_3_320000_4093000_image_222.tif,282,277,338,330,Tree,29.680000000000007,51
2018_TEAK_3_320000_4093000_image_222.tif,303,329,390,400,Tree,61.77000000000001,44
2018_TEAK_3_320000_4093000_image_222.tif,40,75,130,183,Tree,97.2,43
2018_TEAK_3_320000_4093000_image_222.tif,239,178,286,235,Tree,26.790000000000003,19
2018_TEAK_3_320000_4093000_image_222.tif,180,133,221,180,Tree,19.270000000000003,13
2018_TEAK_3_316000_4097000_image_35.tif,1,309,39,352,Tree,16.34,38
2018_TEAK_3_316000_4097000_image_35.tif,176,197,206,231,Tree,10.200000000000001,32
2018_TEAK_3_316000_4097000_image_35.tif,228,179,261,211,Tree,10.560000000000002,18
2018_TEAK_3_316000_4097000_image_35.tif,89,164,132,204,Tree,17.2,30
2018_TEAK_3_316000_4097000_image_35.tif,48,3,90,38,Tree,14.700000000000001,28
2018_TEAK_3_316000_4097000_image_35.tif,358,28,392,59,Tree,10.540000000000001,27
2018_TEAK_3_316000_4097000_image_35.tif,110,321,144,362,Tree,13.940000000000003,29
2018_TEAK_3_316000_4097000_image_35.tif,148,329,179,361,Tree,9.920000000000002,26
2018_TEAK_3_316000_4097000_image_35.tif,176,354,217,400,Tree,18.860000000000003,27
