image_path,xmin,ymin,xmax,ymax,label,area,ht
2018_NIWO_2_450000_4426000_image_crop_0.png,76,297,84,308,Tree,0.8800000000000001,10
2018_NIWO_2_450000_4426000_image_crop_0.png,182,93,192,107,Tree,1.4000000000000001,10
2018_NIWO_2_450000_4426000_image_crop_0.png,260,200,278,219,Tree,3.4200000000000004,13
2018_NIWO_2_450000_4426000_image_crop_0.png,370,105,390,129,Tree,4.800000000000001,11
2018_NIWO_2_450000_4426000_image_crop_0.png,217,2,246,26,Tree,6.960000000000002,16
2018_NIWO_2_450000_4426000_image_crop_0.png,124,160,152,188,Tree,7.840000000000002,13
2018_NIWO_2_450000_4426000_image_crop_0.png,345,211,354,222,Tree,0.9900000000000001,10
2018_NIWO_2_450000_4426000_image_crop_0.png,126,193,137,209,Tree,1.7600000000000002,15
2018_NIWO_2_450000_4426000_image_crop_0.png,367,195,374,205,Tree,0.7000000000000001,7
2018_NIWO_2_450000_4426000_image_crop_0.png,92,375,111,391,Tree,3.0400000000000005,16
2018_NIWO_2_450000_4426000_image_crop_0.png,381,137,393,153,Tree,1.9200000000000004,11
2018_NIWO_2_450000_4426000_image_crop_0.png,379,208,395,230,Tree,3.5200000000000005,8
2018_NIWO_2_450000_4426000_image_crop_0.png,110,362,125,376,Tree,2.1,8
2018_NIWO_2_450000_4426000_image_crop_0.png,92,256,105,273,Tree,2.2100000000000004,11
2018_NIWO_2_450000_4426000_image_crop_0.png,257,46,282,71,Tree,6.25,17
2018_NIWO_2_450000_4426000_image_crop_0.png,305,320,318,331,Tree,1.4300000000000002,11
2018_NIWO_2_450000_4426000_image_crop_0.png,116,129,130,141,Tree,1.6800000000000004,10
2018_NIWO_2_450000_4426000_image_crop_0.png,294,212,311,228,Tree,2.7200000000000006,9
2018_NIWO_2_450000_4426000_image_crop_0.png,213,331,227,343,Tree,1.6800000000000004,7
2018_NIWO_2_450000_4426000_image_crop_0.png,297,13,321,40,Tree,6.480000000000001,17
2018_NIWO_2_450000_4426000_image_crop_0.png,179,312,192,325,Tree,1.6900000000000002,15
2018_NIWO_2_450000_4426000_image_crop_0.png,21,53,33,64,Tree,1.3200000000000003,12
2018_NIWO_2_450000_4426000_image_crop_0.png,275,283,293,301,Tree,3.24,11
2018_NIWO_2_450000_4426000_image_crop_0.png,293,178,300,186,Tree,0.56,6
2018_NIWO_2_450000_4426000_image_crop_0.png,365,123,378,138,Tree,1.9500000000000002,11
2018_NIWO_2_450000_4426000_image_crop_0.png,50,131,68,147,Tree,2.8800000000000003,12
2018_NIWO_2_450000_4426000_image_crop_0.png,69,349,87,372,Tree,4.140000000000001,12
2018_NIWO_2_450000_4426000_image_crop_0.png,122,39,138,58,Tree,3.0400000000000005,17
2018_NIWO_2_450000_4426000_image_crop_0.png,342,243,353,256,Tree,1.4300000000000002,11
2018_NIWO_2_450000_4426000_image_crop_0.png,153,242,168,258,Tree,2.4000000000000004,12
2018_NIWO_2_450000_4426000_image_crop_0.png,271,130,281,143,Tree,1.3,12
2018_NIWO_2_450000_4426000_image_crop_0.png,187,174,202,191,Tree,2.5500000000000003,11
2018_NIWO_2_450000_4426000_image_crop_0.png,163,98,182,121,Tree,4.370000000000001,12
2018_NIWO_2_450000_4426000_image_crop_0.png,268,74,292,96,Tree,5.280000000000001,14
2018_NIWO_2_450000_4426000_image_crop_0.png,202,158,231,189,Tree,8.990000000000002,12
2018_NIWO_2_450000_4426000_image_crop_0.png,316,336,327,347,Tree,1.2100000000000002,12
2018_NIWO_2_450000_4426000_image_crop_0.png,71,392,99,400,Tree,2.24,20
2018_NIWO_2_450000_4426000_image_crop_0.png,348,196,356,205,Tree,0.7200000000000001,9
2018_NIWO_2_450000_4426000_image_crop_0.png,156,345,177,362,Tree,3.5700000000000007,10
2018_NIWO_2_450000_4426000_image_crop_0.png,349,147,358,160,Tree,1.1700000000000002,9
2018_NIWO_2_450000_4426000_image_crop_0.png,62,189,74,204,Tree,1.8000000000000003,9
